t_s,power.draw,power.limit,temperature.gpu,utilization.gpu,clocks.sm,clocks.mem,clocks_throttle_reasons.active,pcie.link.gen.current,memory.used
409.2,50.14,250.00,35,66,2917,13801,0x0000000000000000,5,1145
411.2,50.22,250.00,35,64,2917,13801,0x0000000000000000,5,1145
413.2,50.18,250.00,35,65,2917,13801,0x0000000000000000,5,1145
415.2,50.25,250.00,35,66,2917,13801,0x0000000000000000,5,1145
417.2,50.11,250.00,35,66,2917,13801,0x0000000000000000,5,1145
419.2,49.96,250.00,35,64,2917,13801,0x0000000000000000,5,1145
421.2,50.08,250.00,35,65,2917,13801,0x0000000000000000,5,1145
423.2,50.35,250.00,35,66,2917,13801,0x0000000000000000,5,1145
425.3,50.23,250.00,35,63,2917,13801,0x0000000000000000,5,1145
427.3,49.90,250.00,35,65,2917,13801,0x0000000000000000,5,1145
429.3,50.04,250.00,35,65,2917,13801,0x0000000000000000,5,1145
431.3,50.16,250.00,35,64,2917,13801,0x0000000000000000,5,1145
433.3,50.06,250.00,35,65,2917,13801,0x0000000000000000,5,1145
435.3,50.16,250.00,35,66,2917,13801,0x0000000000000000,5,1145
437.3,50.22,250.00,35,66,2917,13801,0x0000000000000000,5,1145
439.3,50.12,250.00,35,66,2917,13801,0x0000000000000000,5,1145
441.3,49.89,250.00,35,64,2917,13801,0x0000000000000000,5,1145
443.3,50.19,250.00,35,64,2917,13801,0x0000000000000000,5,1145
445.3,50.11,250.00,35,66,2917,13801,0x0000000000000000,5,1145
447.3,49.96,250.00,35,66,2917,13801,0x0000000000000000,5,1145
449.3,49.91,250.00,35,66,2917,13801,0x0000000000000000,5,1145
451.3,49.97,250.00,35,65,2917,13801,0x0000000000000000,5,1145
453.3,50.21,250.00,35,65,2917,13801,0x0000000000000000,5,1145
455.3,50.34,250.00,35,64,2917,13801,0x0000000000000000,5,1145
457.3,50.13,250.00,35,64,2917,13801,0x0000000000000000,5,1145
459.3,50.11,250.00,35,64,2917,13801,0x0000000000000000,5,1145
461.3,50.00,250.00,35,66,2917,13801,0x0000000000000000,5,1145
463.3,50.29,250.00,35,65,2917,13801,0x0000000000000000,5,1145
465.3,50.12,250.00,35,64,2917,13801,0x0000000000000000,5,1145
467.3,50.06,250.00,35,65,2917,13801,0x0000000000000000,5,1145
469.3,50.06,250.00,35,66,2917,13801,0x0000000000000000,5,1145
471.4,50.11,250.00,35,63,2917,13801,0x0000000000000000,5,1145
473.4,49.96,250.00,35,65,2917,13801,0x0000000000000000,5,1145
475.4,50.08,250.00,35,66,2917,13801,0x0000000000000000,5,1145
477.4,50.07,250.00,35,64,2917,13801,0x0000000000000000,5,1145
479.4,49.82,250.00,35,65,2917,13801,0x0000000000000000,5,1145
481.4,49.81,250.00,35,64,2917,13801,0x0000000000000000,5,1145
483.4,49.75,250.00,35,64,2917,13801,0x0000000000000000,5,1145
485.4,50.02,250.00,35,65,2917,13801,0x0000000000000000,5,1145
487.4,50.02,250.00,35,65,2917,13801,0x0000000000000000,5,1145
489.4,49.80,250.00,35,63,2917,13801,0x0000000000000000,5,1145
491.4,49.83,250.00,35,66,2917,13801,0x0000000000000000,5,1145
493.4,50.01,250.00,35,64,2917,13801,0x0000000000000000,5,1145
495.4,50.05,250.00,35,64,2917,13801,0x0000000000000000,5,1145
497.4,49.91,250.00,35,66,2917,13801,0x0000000000000000,5,1145
499.4,50.01,250.00,35,65,2917,13801,0x0000000000000000,5,1145
501.5,49.94,250.00,35,66,2917,13801,0x0000000000000000,5,1145
503.5,50.12,250.00,35,66,2917,13801,0x0000000000000000,5,1145
505.5,50.15,250.00,35,65,2917,13801,0x0000000000000000,5,1145
507.5,50.06,250.00,35,64,2917,13801,0x0000000000000000,5,1145
509.5,49.91,250.00,35,64,2917,13801,0x0000000000000000,5,1145
511.5,49.83,250.00,35,66,2917,13801,0x0000000000000000,5,1145
513.5,49.92,250.00,35,66,2917,13801,0x0000000000000000,5,1144
515.5,49.92,250.00,35,66,2917,13801,0x0000000000000000,5,1144
517.5,49.91,250.00,35,64,2917,13801,0x0000000000000000,5,1144
519.5,50.09,250.00,35,64,2917,13801,0x0000000000000000,5,1144
521.5,49.69,250.00,35,66,2917,13801,0x0000000000000000,5,1144
523.5,49.98,250.00,35,66,2917,13801,0x0000000000000000,5,1144
525.5,50.23,250.00,35,65,2917,13801,0x0000000000000000,5,1144
527.5,50.42,250.00,35,65,2917,13801,0x0000000000000000,5,1144
529.5,50.70,250.00,35,66,2917,13801,0x0000000000000000,5,1144
531.6,50.58,250.00,35,67,2917,13801,0x0000000000000000,5,1144
